dataset,size,algorithm,time_ms,comparisons
nearly_sorted,2600,ternary_quicksort,1.15166,5213
random,2600,msd_radix_noswitch,1.32284,0
random,2600,msd_radix_withswitch,0.363,1039
random,2600,standard_mergesort,1.21808,39350
random,2600,standard_quicksort,1.44138,35586
random,2600,ternary_quicksort,0.57856,5100
reversed,2600,msd_radix_noswitch,1.25364,0
reversed,2600,msd_radix_withswitch,0.35156,999
reversed,2600,standard_mergesort,0.76934,19350
reversed,2600,standard_quicksort,0.86266,26520
reversed,2600,ternary_quicksort,1.7478,5565
nearly_sorted,2700,msd_radix_noswitch,1.32832,0
nearly_sorted,2700,msd_radix_withswitch,0.3708,1020
nearly_sorted,2700,standard_mergesort,1.11042,37639
nearly_sorted,2700,standard_quicksort,1.12118,35040
nearly_sorted,2700,ternary_quicksort,1.12906,5437
random,2700,msd_radix_noswitch,1.32128,0
random,2700,msd_radix_withswitch,0.37398,930
random,2700,standard_mergesort,1.3182,41636
random,2700,standard_quicksort,1.52378,36740
random,2700,ternary_quicksort,0.61052,5325
reversed,2700,msd_radix_noswitch,1.31384,0
reversed,2700,msd_radix_withswitch,0.38092,996
reversed,2700,standard_mergesort,0.79206,20353
reversed,2700,standard_quicksort,0.91084,27520
reversed,2700,ternary_quicksort,1.82694,5802
nearly_sorted,2800,msd_radix_noswitch,1.3806,0
nearly_sorted,2800,msd_radix_withswitch,0.3758,1023
nearly_sorted,2800,standard_mergesort,1.07252,38811
nearly_sorted,2800,standard_quicksort,1.16094,36451
nearly_sorted,2800,ternary_quicksort,1.25504,5675
random,2800,msd_radix_noswitch,1.44338,0
random,2800,msd_radix_withswitch,0.41136,2251
random,2800,standard_mergesort,1.35356,43238
random,2800,standard_quicksort,1.59342,38516
random,2800,ternary_quicksort,0.63654,5557
reversed,2800,msd_radix_noswitch,1.36084,0
reversed,2800,msd_radix_withswitch,0.39128,1098
reversed,2800,standard_mergesort,0.81038,21188
reversed,2800,standard_quicksort,0.92746,28520
reversed,2800,ternary_quicksort,1.85744,6016
nearly_sorted,2900,msd_radix_noswitch,1.42978,0
nearly_sorted,2900,msd_radix_withswitch,0.403,1569
nearly_sorted,2900,standard_mergesort,1.1121,40400
nearly_sorted,2900,standard_quicksort,1.22762,38123
nearly_sorted,2900,ternary_quicksort,1.31596,5900
random,2900,msd_radix_noswitch,1.50182,0
random,2900,msd_radix_withswitch,0.40232,1199
random,2900,standard_mergesort,1.42622,44880
random,2900,standard_quicksort,1.60822,39510
random,2900,ternary_quicksort,0.63018,5765
reversed,2900,msd_radix_noswitch,1.4051,0
reversed,2900,msd_radix_withswitch,0.39072,1106
reversed,2900,standard_mergesort,0.84702,22105
reversed,2900,standard_quicksort,0.9507,29520
reversed,2900,ternary_quicksort,1.9206,6263
nearly_sorted,3000,msd_radix_noswitch,1.48164,0
nearly_sorted,3000,msd_radix_withswitch,0.41188,1125
nearly_sorted,3000,standard_mergesort,1.1815,42272
nearly_sorted,3000,standard_quicksort,1.23898,38710
nearly_sorted,3000,ternary_quicksort,1.3279,6134
random,3000,msd_radix_noswitch,1.5881,0
random,3000,msd_radix_withswitch,0.44818,1084
random,3000,standard_mergesort,1.4937,46641
random,3000,standard_quicksort,1.83636,42013
random,3000,ternary_quicksort,0.75328,5990
reversed,3000,msd_radix_noswitch,1.48438,0
reversed,3000,msd_radix_withswitch,0.40632,1161
reversed,3000,standard_mergesort,0.8819,23002
reversed,3000,standard_quicksort,0.98716,30520
reversed,3000,ternary_quicksort,2.02284,6514
